Codice parte Mouser,Codice articolo Mfr,Produttore,Scheda dati,Disponibilità,Prezzi,RoHS,Ciclo di vita,Dettagli sul prodotto,Tipo,Da utilizzarsi con,Intervallo,Precisione,Tensione di uscita,Modalità operativa,Tensione di alimentazione di lavoro,Dimensioni porta,Materiale di alloggiamento
403-SFM3200-250,SFM3200-250,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3200_Datasheet-1511672.pdf,5  In ordine,"=""151,20 €""",A norma RoHS,Nuovo prodotto,https://www.mouser.it/ProductDetail/Sensirion/SFM3200-250?qs=sGAEpiMZZMve4/bfQkoj%2BPn0Jnl4IMLr8lnPnXk3CPM=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3200-250&utm_content=Sensirion,Air Flow Sensor,"Air, Oxygen, Non-Aggressive Gases",- 100 slm to 250 slm,7%,,Bidirectional,5 V,,Plastic
403-SFM4200AIR,"=""SFM4200 Air""",Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM4200_Datasheet-1568140.pdf,"=""15  A magazzino""","=""156,96 €""",A norma RoHS,Nuovo prodotto,https://www.mouser.it/ProductDetail/Sensirion/SFM4200-Air?qs=sGAEpiMZZMve4/bfQkoj%2BCuyynIKKiWCrt11oyEk/Ng=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM4200+Air&utm_content=Sensirion,Digital Flow Meter,"Air, Oxygen",160 slm,5 %,,Bidirectional,5 V,,Polycarbonate (PC)
785-HAFUHH0050L4AXT,HAFUHH0050L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"=""27  A magazzino""","=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHH0050L4AXT?qs=sGAEpiMZZMsrChSOYEGTCUPg/663IkWDOeC4yWi7f5w=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHH0050L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,50 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Thermoplastic (TP)
785-HAFUHT0050L4AXT,HAFUHT0050L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"=""7  A magazzino""","=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHT0050L4AXT?qs=sGAEpiMZZMsrChSOYEGTCTSjhTCklPiRntKGGU/PnSY=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHT0050L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,50 SLPM,3.50%,,Unidirectional,3 V to 10 V,9.525 mm,Thermoplastic (TP)
653-D6F-50A6-000,D6F-50A6-000,Omron Electronics,https://www.mouser.it/datasheet/2/307/en-d6f_series-1128136.pdf,"=""5  A magazzino""","=""195,21 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Omron-Electronics/D6F-50A6-000?qs=sGAEpiMZZMsnNKdmhDfM1D6iWzu5KXmI&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=D6F-50A6-000&utm_content=Omron-Electronics,MEMS Mass Flow Sensor,Air,0 L/min to 50 L/min,+/- 3 % Full Scale,1 V to 5 V,,10.8 V to 26.4 V,6.35 mm,"Thermoplastic (TP), Aluminum alloy"
785-HAFUHM0050L4AXT,HAFUHM0050L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"=""1  A magazzino""","=""151,77 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHM0050L4AXT?qs=sGAEpiMZZMsrChSOYEGTCf6zmuM5t3WEpCAacwmnD3o=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHM0050L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,50 SLPM,3.50%,,Unidirectional,3 V to 10 V,13 mm,Thermoplastic (TP)
785-HAFUHM0200L4AXT,HAFUHM0200L4AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"Tempo di consegna, se non a magazzino 11 settimane","=""151,76 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHM0200L4AXT?qs=sGAEpiMZZMt7ElCdtSqFeX77QHoZsg5I&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHM0200L4AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,200 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Polymer
653-D6F-50A5-000,D6F-50A5-000,Omron Electronics,https://www.mouser.it/datasheet/2/307/en-d6f_series-1128136.pdf,"=""2  A magazzino""","=""195,21 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Omron-Electronics/D6F-50A5-000?qs=sGAEpiMZZMs8I5ltipPMAFBNra5b5EoW&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=D6F-50A5-000&utm_content=Omron-Electronics,MEMS Mass Flow Sensor,Air,0 L/min to 50 L/min,+/- 3 % Full Scale,1 V to 5 V,,10.8 V to 26.4 V,5 mm,"Thermoplastic (TP), Aluminum alloy"
785-HAFUHM0200L5AXT,HAFUHM0200L5AXT,Honeywell,https://www.mouser.it/datasheet/2/187/honeywell-sensing-zephyr-digital-airflow-10-slpm-3-740283.pdf,"=""3  A magazzino""","=""151,76 €""",,,https://www.mouser.it/ProductDetail/Honeywell/HAFUHM0200L5AXT?qs=sGAEpiMZZMtUKTCHc2CNRHl3sT9eotUK&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HAFUHM0200L5AXT&utm_content=Honeywell,Mass Air Flow Sensor,Air,200 SLPM,3.50%,,Unidirectional,3 V to 10 V,22 mm,Polymer
403-SFM3000-200C,SFM3000-200C,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3000_Datasheet-1511631.pdf,389  In ordine,"=""90,00 €""",A norma RoHS,,https://www.mouser.it/ProductDetail/Sensirion/SFM3000-200C?qs=sGAEpiMZZMvQbgrkdfEa0hUGG6tqzkGPWCAqa/modB8=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3000-200C&utm_content=Sensirion,Low Pressure Drop Digital Flow Meter,"Air, Oxygen, Non-Aggressive Gases",200 slm,1.50%,,Bidirectional,5 V,18.45 mm,Plastic
403-SFM3300-D,SFM3300-D,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3300_Datasheet-1524535.pdf,N/A,"=""37,63 €""",A norma RoHS,Nuovo prodotto,https://www.mouser.it/ProductDetail/Sensirion/SFM3300-D?qs=sGAEpiMZZMve4/bfQkoj%2BIgmCJJ2V7xTa2ENPUPFk28=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3300-D&utm_content=Sensirion,Air Flow Sensor,"Air, Oxygen, Non-Aggressive Gases",+/- 250 slm,7 %,,Bidirectional,5 V,,Plastic
403-SFM3300-AW,SFM3300-AW,Sensirion,https://www.mouser.it/datasheet/2/682/Sensirion_Mass_Flow_Meters_SFM3300_Datasheet-1524535.pdf,65  In ordine,"=""161,28 €""",A norma RoHS,Nuovo prodotto,https://www.mouser.it/ProductDetail/Sensirion/SFM3300-AW?qs=sGAEpiMZZMve4/bfQkoj%2BOnMP2bBuCWZyLZ7dKv%2BqUI=&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SFM3300-AW&utm_content=Sensirion,Air Flow Sensor,"Air, Oxygen, Non-Aggressive Gases",+/- 250 slm,7 %,,Bidirectional,5 V,,Plastic
